px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
7.49141	-5.394	-2.81359	2.13117	0.29218	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.5707	-5.52839	-2.79172	2.13989	0.278836	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	0.162738
7.6496	-5.66054	-2.79633	2.14973	0.271	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.71528	-5.78074	-2.68533	2.1507	0.24537	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.416442
7.77498	-5.92482	-2.70537	2.13413	0.202893	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.89323	-6.08067	-3.2278	2.17602	0.279894	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	6.31907
7.9745	-6.22436	-3.24004	2.17438	0.257509	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.05363	-6.35349	-2.97637	2.17105	0.215687	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	1.94846
8.15297	-6.47528	-2.96244	2.19581	0.234335	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.22491	-6.5902	-2.78455	2.19676	0.210305	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.892247
8.2944	-6.73042	-2.79479	2.1831	0.174484	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.37716	-6.85399	-2.80376	2.19017	0.172164	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.237524
8.46262	-6.97438	-2.79422	2.19962	0.172421	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.53069	-7.07998	-2.72376	2.20041	0.15902	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.353947
8.58877	-7.21163	-2.73954	2.17797	0.115649	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.6998	-7.35827	-3.13979	2.20022	0.158402	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	3.87459
8.77083	-7.50704	-3.15709	2.1779	0.11481	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.82048	-7.62024	-2.68033	2.14746	0.0362312	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.57767
8.88375	-7.75261	-2.68183	2.13131	0.0104948	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.96101	-7.87746	-2.80647	2.13434	0.0205197	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.417571
9.01044	-8.016	-2.81952	2.10379	-0.0241515	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.03862	-8.11762	-2.42129	2.06576	-0.0985174	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	4.05147
9.0884	-8.24133	-2.42379	2.04652	-0.117762	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.1674	-8.37572	-2.70028	2.05714	-0.0789499	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	1.80484
9.20349	-8.51766	-2.72211	2.0184	-0.127388	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.2352	-8.63559	-2.44863	1.9779	-0.194871	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	1.93746
9.27445	-8.76599	-2.45409	1.95271	-0.214779	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.41798	-8.96006	-3.44994	2.04615	0.00578982	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	25.0869
9.47734	-9.12972	-3.47124	2.02177	-0.0286029	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.496	-9.25227	-3.00229	1.96315	-0.148638	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	5.8742
9.55354	-9.38052	-2.98511	1.96217	-0.13938	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.58077	-9.49867	-2.76539	1.92931	-0.193264	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.48405
9.60226	-9.64324	-2.78299	1.89164	-0.232022	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.66479	-9.79286	-2.96538	1.90017	-0.18719	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	1.0094
9.69245	-9.94063	-2.9733	1.87204	-0.213083	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.70052	-10.0685	-2.66589	1.81882	-0.301521	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	2.73912
9.74365	-10.1899	-2.62885	1.81853	-0.278652	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.78493	-10.3273	-2.68588	1.81222	-0.264371	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.53902
9.79624	-10.4682	-2.70346	1.77856	-0.292597	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.83712	-10.622	-2.85535	1.78353	-0.244334	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	1.05176
9.86548	-10.7708	-2.84639	1.76933	-0.245195	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.87077	-10.9051	-2.62825	1.72331	-0.315819	9.88465	-10.9383	9.85	-10.9	0	-2.73074	1.31845
9.8746	-11.0517	-2.63656	1.6907	-0.336659	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.89335	-11.1874	-2.70269	1.68281	-0.315367	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.170022
9.88503	-11.3355	-2.73369	1.64371	-0.347464	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.89784	-11.4797	-2.79063	1.63339	-0.330489	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.140536
9.88135	-11.6296	-2.81841	1.59334	-0.362641	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.81447	-11.7307	-2.33898	1.461	-0.607829	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	10.0939
9.78446	-11.8509	-2.35496	1.4165	-0.626796	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.7753	-11.9748	-2.45169	1.41051	-0.570365	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.575412
9.71801	-12.1189	-2.52402	1.34622	-0.618259	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.66148	-12.2332	-2.3921	1.25987	-0.735337	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	1.82134
9.6001	-12.3537	-2.42792	1.20267	-0.762064	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.4986	-12.4416	-2.24303	1.05638	-0.982331	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	4.48464
9.41541	-12.5483	-2.29566	0.985538	-1.0099	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.36191	-12.6575	-2.32593	0.970265	-0.927503	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	0.517376
9.2665	-12.7672	-2.36948	0.903945	-0.946042	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.10617	-12.8284	-2.26974	0.671885	-1.33121	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	11.2367
8.95536	-12.9259	-2.43619	0.570573	-1.37011	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.83176	-12.9917	-2.45187	0.486171	-1.38503	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	0.132145
8.69684	-13.0525	-2.48561	0.403577	-1.39096	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.56313	-13.0965	-2.54791	0.308886	-1.44601	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	0.294497
8.41353	-13.1438	-2.62873	0.234086	-1.44235	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.23461	-13.159	-2.78981	0.100874	-1.56429	8.22926	-13.1698	8.2	-13.15	-2.72741	0	1.37589
8.06918	-13.1687	-2.82108	0.0124331	-1.56429	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.93129	-13.1678	-2.70702	-0.0538323	-1.50991	7.82914	-13.0525	7.9	-13.15	-2.72986	0	0.690418
7.777	-13.1586	-2.72625	-0.133646	-1.50409	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.72842	-13.188	-2.13155	-0.112335	-1.25995	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	10.9401
7.56164	-13.2066	-2.29011	-0.140085	-1.19978	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.4289	-13.1832	-2.30201	-0.205287	-1.19381	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.493411
7.25159	-13.1861	-2.43518	-0.231065	-1.1323	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.09467	-13.1196	-2.73288	-0.337094	-1.24616	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	3.33008
6.9219	-13.0992	-2.83627	-0.361108	-1.1894	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.78417	-13.0594	-2.75685	-0.404961	-1.14748	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.520971
6.60971	-13.0213	-2.8339	-0.432724	-1.09689	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.50166	-13.013	-2.37663	-0.420643	-0.931354	6.40137	-13.0799	6.4	-13.05	-2.72678	0	6.11317
6.3322	-12.9907	-2.47475	-0.421776	-0.861341	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.2055	-12.9412	-2.45528	-0.457851	-0.8414	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.118807
6.02902	-12.9084	-2.56162	-0.452896	-0.769957	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.88018	-12.786	-3.08186	-0.572962	-0.957366	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	8.29575
5.71377	-12.7175	-3.15324	-0.586882	-0.909387	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.592	-12.6773	-2.70158	-0.568882	-0.753765	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	6.09916
5.4525	-12.6109	-2.72393	-0.59048	-0.727024	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.31308	-12.4951	-2.97972	-0.659629	-0.79527	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	1.66051
5.15865	-12.4145	-3.01504	-0.672384	-0.752903	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.0384	-12.3301	-2.87496	-0.695724	-0.713431	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.499987
4.92144	-12.2317	-2.86782	-0.73384	-0.712543	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.81046	-12.1209	-2.94074	-0.777243	-0.727715	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.375758
4.72256	-12.0231	-2.90961	-0.820196	-0.738787	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.61651	-11.8966	-2.97772	-0.869341	-0.756362	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.177514
4.5645	-11.7546	-2.91642	-0.957289	-0.823578	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.51801	-11.6577	-2.49202	-1.00925	-0.819371	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	3.4012
4.48297	-11.5397	-2.44797	-1.08306	-0.862134	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.34341	-11.3452	-3.43187	-1.09417	-0.824363	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	19.7232
4.33327	-11.1708	-3.39768	-1.20063	-0.919224	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.35898	-11.0582	-2.61396	-1.31571	-1.02278	4.43713	-11.024	4.45	-11.05	0	1.81614	12.7793
4.37147	-10.9117	-2.59532	-1.4146	-1.08511	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.35023	-10.7637	-2.68244	-1.46865	-1.07235	4.44745	-10.786	4.45	-10.8	0	2.72555	0.263611
4.37916	-10.6146	-2.67767	-1.56505	-1.12613	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.38034	-10.4685	-2.72535	-1.61922	-1.11053	4.46329	-10.5756	4.45	-10.5	0	2.729	0.283467
4.40786	-10.3205	-2.72776	-1.6946	-1.13089	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.43505	-10.174	-2.74234	-1.75825	-1.13086	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.127612
4.49488	-10.025	-2.76381	-1.8458	-1.16591	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.52691	-9.87517	-2.85518	-1.8792	-1.10236	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.66127
4.59767	-9.72831	-2.87287	-1.95602	-1.12436	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.61731	-9.55809	-3.0364	-1.93787	-0.963106	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.11152
4.6988	-9.41197	-3.04254	-2.00549	-0.98267	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.78639	-9.27128	-3.0257	-2.07581	-1.01173	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.342562
4.89652	-9.12448	-3.07351	-2.15005	-1.03575	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.98568	-8.99882	-3.06908	-2.20629	-1.04705	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.0385801
5.06172	-8.89797	-2.99821	-2.25037	-1.03766	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.13236	-8.76708	-3.00067	-2.24467	-0.893666	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.59949
5.24863	-8.6374	-3.02762	-2.29862	-0.899045	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.35518	-8.53015	-3.02573	-2.34885	-0.909984	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0289754
5.45912	-8.42727	-3.01259	-2.39243	-0.907944	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
