px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
64.1054	-10.579	852.731	-844890	-104729	65.8838	23.9541	66.0431	24.0276	2.37349	0.508655	623.079
66.3184	-11.5643	906.499	-949611	-103752	68.262	24.3582	68.4273	24.4824	2.30293	0.385623	10439.7
67.1317	-11.2095	708.38	-949613	-108770	68.6759	24.6059	68.4273	24.4824	2.30293	0.385623	598.762
70.8328	-12.6855	681.535	-1.05838e+06	-109139	70.8275	24.8844	70.7384	24.8137	2.22347	0.265395	28800.7
71.3815	-12.7949	649.202	-1.05838e+06	-105943	70.7403	24.6728	70.7384	24.8137	2.22347	0.265395	371.453
72.0297	-12.9596	631.409	-1.16433e+06	-104136	72.8923	24.7135	72.9675	25.025	2.13584	0.150292	622.269
72.4074	-12.9357	647.505	-1.16433e+06	-104914	73.0732	25.0343	72.9675	25.025	2.13584	0.150292	452.918
74.9086	-12.2523	639.674	-1.26924e+06	-104968	75.0021	25.2595	75.1062	25.1224	2.04114	0.0423626	28974.3
75.5296	-12.1118	644.663	-1.26924e+06	-105028	74.9748	25.1377	75.1062	25.1224	2.04114	0.0423626	351.226
76.897	-13.4205	3898.34	-1.37428e+06	-120068	77.1225	24.9297	77.1475	25.1137	1.9408	-0.0566978	41099.9
77.4503	-13.6859	2313.25	-1.37428e+06	-1.68436e+06	77.1386	25.2948	77.1475	25.1137	1.9408	-0.0566978	355.667
78.2504	-12.5916	1984.64	-3.05863e+06	-3.49526e+06	79.1089	25.0369	79.0861	25.0086	1.83649	-0.145607	756.929
78.6368	-12.5374	2472.47	-3.05863e+06	-4.52482e+06	79.1718	24.9698	79.0861	25.0086	1.83649	-0.145607	380.961
79.3571	-13.0396	3833.96	-7.58344e+06	-6.15434e+06	80.8074	24.8688	80.9183	24.8178	1.73008	-0.223536	2394.21
79.6855	-13.168	4170.18	-7.58344e+06	-8.46077e+06	81.1423	24.8704	80.9183	24.8178	1.73008	-0.223536	438.58
81.5205	-12.2231	4546.27	-1.60442e+07	-1.00215e+07	82.6216	24.6393	82.6423	24.5525	1.6235	-0.29012	12459.8
81.7899	-11.8581	3050.53	-1.60442e+07	-7.41709e+06	82.5085	24.8114	82.6423	24.5525	1.6235	-0.29012	359.452
83.7115	-13.488	2568.87	-2.34613e+07	-6.52218e+06	84.1733	24.5504	84.2584	24.2245	1.51869	-0.345444	15052.7
84.1093	-13.6515	2820.07	-2.34613e+07	-9.94911e+06	84.2898	24.3312	84.2584	24.2245	1.51869	-0.345444	298.563
85.0515	-13.4417	2913.71	-3.34104e+07	-1.10254e+07	85.6378	23.808	85.7688	23.8451	1.41749	-0.390006	12044.4
85.5063	-13.2529	1234.43	-3.34104e+07	-6.63835e+06	85.9743	23.7547	85.7688	23.8451	1.41749	-0.390006	298.114
86.7144	-13.4205	1308.77	-4.00488e+07	-7.13409e+06	86.9449	23.527	87.1776	23.4252	1.32159	-0.424654	33195.8
87.2973	-13.3116	1311.39	-4.00488e+07	-7.07745e+06	87.6171	23.5127	87.1776	23.4252	1.32159	-0.424654	270.571
87.6522	-14.3825	1776.7	-4.71262e+07	-1.42407e+07	88.8227	22.7869	88.4904	22.9745	1.23248	-0.450514	5416.83
87.9323	-14.2293	1853.5	-4.71262e+07	-1.70871e+07	88.4191	22.9498	88.4904	22.9745	1.23248	-0.450514	255.625
89.1947	-14.5092	2005.32	-6.42133e+07	-1.8903e+07	89.4967	22.3082	89.7145	22.5017	1.15138	-0.468904	30518.5
89.3088	-13.87	-1793.91	-6.42133e+07	-8.5653e+07	89.7821	22.4826	89.7145	22.5017	1.15138	-0.468904	264.619
90.1492	-15.4011	-966.576	-1.49866e+08	-7.0905e+07	90.5133	21.6677	90.858	22.0141	1.07929	-0.481241	49591.8
90.5157	-15.7066	-346.726	-1.49866e+08	-1.10638e+11	90.8419	22.0974	90.858	22.0141	1.07929	-0.481241	223.169
91.0271	-16.5756	-330.051	-1.10788e+11	-1.10852e+11	91.7178	21.1152	91.9302	21.5174	1.01698	-0.488964	623.459
91.2258	-16.5487	60701	-1.10788e+11	-2.20779e+11	92.0492	21.5289	91.9302	21.5174	1.01698	-0.488964	227.375
91.6903	-16.5798	60013.4	-3.31567e+11	-2.19707e+11	92.8599	20.9537	92.9411	21.016	0.964993	-0.493443	1033.15
91.8656	-16.5193	-1801.92	-3.31567e+11	-5.54674e+11	93.3186	21.0712	92.9411	21.016	0.964993	-0.493443	242.72
93.2467	-18.1154	-10735.3	-2.95414e+11	-2.2903e+11	93.4668	20.2155	93.9011	20.513	0.92369	-0.495919	28798.4
93.4019	-18.1903	2.95748e+08	-2.95414e+11	2.30966e+22	93.7423	20.5071	93.9011	20.513	0.92369	-0.495919	193.529
95.2091	-17.8215	2.95861e+08	2.30966e+22	2.31055e+22	95.3229	19.6585	94.8209	20.01	0.893308	-0.497439	20494.9
95.1825	-17.754	-383663	2.30966e+22	7.70404e+21	94.494	19.8854	94.8209	20.01	0.893308	-0.497439	171.822
95.4671	-18.0271	-558405	1.02669e+22	2.04327e+20	95.5039	19.6984	95.7116	19.5078	0.87398	-0.498816	14812.8
95.4578	-18.0668	54.8211	1.02669e+22	6.80918e+19	95.6097	19.5804	95.7116	19.5078	0.87398	-0.498816	171.303
95.9074	-18.2016	-442.911	3.44499e+21	2.04783e+19	96.2641	19.1597	96.5842	19.0065	0.865773	-0.500589	15494.4
96.0065	-18.054	0.652972	3.44499e+21	6.82405e+18	96.559	18.8688	96.5842	19.0065	0.865773	-0.500589	168.737
97.5369	-18.9193	4.19194	1.1506e+21	9.75841e+16	97.5286	18.727	97.45	18.506	0.868716	-0.503009	25852.4
97.321	-18.6886	2.70369	1.1506e+21	3.24869e+16	97.5333	18.1735	97.45	18.506	0.868716	-0.503009	175.621
98.1222	-19.3997	0.603675	3.83546e+20	1.52285e+16	98.2105	18.3739	98.3198	18.0049	0.882805	-0.506023	22181.8
98.2032	-19.4567	-0.4272	3.83546e+20	3.83144e+94	98.4162	18.1556	98.3198	18.0049	0.882805	-0.506023	164.14
98.79	-20.4491	1.75444	1.27715e+94	9.74653e+93	99.0363	17.357	99.2049	17.503	0.908006	-0.509278	9807.41
98.7252	-20.3085	1.28685	1.27715e+94	3.24824e+93	98.9782	17.2949	99.2049	17.503	0.908006	-0.509278	159.361
99.103	-20.4938	1.83764	5.33991e+93	-4.20666e+93	99.9969	16.9882	100.117	17.0001	0.944242	-0.512134	2327.55
99.0564	-20.6226	0.672633	5.33991e+93	-1.39693e+93	100.441	16.9521	100.117	17.0001	0.944242	-0.512134	178.699
nan	nan	nan	nan	nan	101.204	16.5368	101.065	16.497	0.991362	-0.513687	nan
nan	nan	nan	nan	nan	101.169	16.4353	101.065	16.497	0.991362	-0.513687	nan
nan	nan	nan	nan	nan	102.387	16.3992	102.063	15.9949	1.04911	-0.512803	nan
