px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.4485	0.251375	-0.000726981	1.2902e-17	2.77556e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.44848	0.251375	-0.000726981	1.87567e-17	5.20417e-18	8.56759	0.241943	8.45	0.25	0	0	0.000275947
8.45339	0.252671	0.0164899	-3.72381e-06	-5.22809e-07	8.45582	0.253997	8.45	0.25	0	0	0
8.45393	0.252671	0.0164899	-3.75254e-06	-5.22809e-07	8.42544	0.254042	8.35	0.25	-1.81979	0	0.000952076
8.30418	0.25151	-0.491757	-0.000170075	-4.68587e-05	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.29013	0.251512	-0.491757	-0.000172418	-4.68587e-05	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	0.618382
7.98971	0.223183	-1.25426	0.132336	0.0501088	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.95743	0.218845	-1.25426	0.134842	0.0501088	7.61269	0.155818	7.7	0.15	-2.99982	0	3.05774
7.68205	0.185448	-1.77152	0.212728	0.0792977	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.61809	0.171309	-1.77152	0.217093	0.0792977	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	2.33766
7.40932	0.0671319	-1.98748	0.444718	0.18739	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.32161	0.0245194	-1.98748	0.45502	0.18739	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	0.605246
7.09467	-0.0481717	-2.10144	0.425699	0.140387	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.99489	-0.093816	-2.10144	0.433417	0.140387	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	0.173053
6.83243	-0.238438	-2.07804	0.542537	0.247999	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.74723	-0.290426	-2.07804	0.554932	0.247999	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.104236
6.61896	-0.440246	-2.04601	0.665936	0.36966	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.54199	-0.501859	-2.04601	0.68444	0.36966	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	0.133249
6.48816	-0.648876	-1.87668	0.831009	0.530995	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.42216	-0.723453	-1.87668	0.860225	0.530995	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	0.536439
6.39745	-0.985492	-1.88386	1.14741	0.839161	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.35848	-1.07785	-1.88386	1.19354	0.839161	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	0.956227
6.27091	-1.25568	-1.894	1.24868	0.793724	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.24099	-1.35244	-1.894	1.29231	0.793724	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	0.0316713
6.29476	-1.61195	-1.93778	1.54265	0.973555	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.29437	-1.7068	-1.93778	1.59135	0.973555	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	0.729469
6.27471	-1.92347	-2.02114	1.65545	0.939845	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.28531	-2.02221	-2.02114	1.70245	0.939845	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	0.144111
6.33428	-2.22813	-2.04651	1.81371	0.956307	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
6.36364	-2.3352	-2.04651	1.86633	0.956307	6.32593	-2.40018	6.35	-2.4	0	-2.72613	0.023744
6.39163	-2.54746	-2.04155	1.91987	0.910451	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
6.43198	-2.6508	-2.04155	1.96992	0.910451	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	0.170195
6.47871	-2.84529	-1.9993	2.0238	0.871226	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
6.52384	-2.93351	-1.9993	2.0674	0.871226	6.46536	-3.00452	6.45	-3	0	-2.99754	0.196099
6.53694	-3.12405	-1.96837	2.06873	0.800447	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
6.59003	-3.21718	-1.96837	2.11269	0.800447	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	0.835627
6.63169	-3.42337	-1.94689	2.12646	0.740036	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
6.68945	-3.51263	-1.94689	2.16718	0.740036	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	0.718184
6.79176	-3.71833	-1.98938	2.21414	0.712176	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
6.85858	-3.80414	-1.98938	2.25335	0.712176	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	0.192328
6.93785	-4.00759	-1.97963	2.26527	0.657311	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
7.00842	-4.08946	-1.97963	2.30141	0.657311	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	0.6945
7.05932	-4.28486	-1.90619	2.28488	0.582779	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0
7.12861	-4.36243	-1.90619	2.3169	0.582779	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	1.37194
7.16392	-4.51758	-1.74762	2.30431	0.517461	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0
7.22882	-4.58769	-1.74762	2.3328	0.517461	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	1.33182
7.26917	-4.77676	-1.69052	2.29365	0.435812	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0
7.33098	-4.84527	-1.69052	2.31761	0.435812	7.3138	-5.05204	7.25	-5	1.81907	-2.72861	1.69721
7.39747	-5.05291	-1.7213	2.27595	0.359956	7.30424	-5.15404	7.35	-5.15	1.81907	-2.72861	0
7.45911	-5.12396	-1.7213	2.29577	0.359956	7.29446	-5.23429	7.4	-5.3	0.908194	-2.7246	1.43561
7.53318	-5.34597	-1.78245	2.24439	0.282919	7.44737	-5.45308	7.45	-5.45	0.90819	-2.72457	0
7.59438	-5.42148	-1.78245	2.25993	0.282919	7.63082	-5.61863	7.55	-5.55	1.81974	-1.81974	1.43915
7.68986	-5.61278	-1.81263	2.24187	0.241323	7.64356	-5.66706	7.65	-5.65	1.81972	-1.81972	0
7.75184	-5.68978	-1.81263	2.25513	0.241323	7.60376	-5.74774	7.7	-5.8	0.90983	-2.72951	0.39315
7.81638	-5.88866	-1.80275	2.20695	0.178191	7.7342	-5.95374	7.75	-5.95	0.909826	-2.72948	0
7.86989	-5.96041	-1.80275	2.21587	0.178191	7.82165	-6.06822	7.85	-6.1	1.9986	-2.9979	0.853471
7.97628	-6.16956	-1.92304	2.19149	0.142791	7.95703	-6.24328	7.95	-6.25	1.99858	-2.99787	0
8.03771	-6.25473	-1.92304	2.19935	0.142791	8.17338	-6.44684	8.05	-6.35	1.81738	-1.81739	0.480515
8.16226	-6.43816	-1.9505	2.20647	0.135562	8.15891	-6.45335	8.15	-6.45	1.81737	-1.81737	0
8.22581	-6.52356	-1.9505	2.21393	0.135562	8.08628	-6.51855	8.2	-6.6	0.909293	-2.72787	0.0207789
8.30919	-6.71569	-1.92818	2.18277	0.0967248	8.25411	-6.74791	8.25	-6.75	0.909293	-2.72787	0
8.36986	-6.80161	-1.92818	2.18809	0.0967248	8.25648	-6.78122	8.35	-6.85	1.81994	-1.81993	0.325095
8.46901	-6.96268	-1.87736	2.18681	0.0867156	8.44494	-6.95805	8.45	-6.95	1.81993	-1.81993	0
8.52304	-7.03862	-1.87736	2.19114	0.0867156	8.39359	-7.01743	8.5	-7.1	1.00006	-3.00018	0.0536702
8.59658	-7.21242	-1.87133	2.1619	0.0546894	8.54925	-7.24433	8.55	-7.25	1.00006	-3.00018	0
8.64854	-7.28957	-1.87133	2.16464	0.0546894	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	0.251577
8.75057	-7.49104	-1.96656	2.14338	0.0317891	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	0
8.8088	-7.58117	-1.96656	2.14512	0.0317891	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	0.235892
8.88786	-7.7533	-1.89973	2.12414	0.01053	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	0
8.93751	-7.8336	-1.89973	2.12467	0.01053	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.15095
9.0042	-8.01195	-1.89337	2.09184	-0.0190499	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	0
9.05564	-8.10162	-1.89337	2.09079	-0.0190499	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	0.204115
9.11082	-8.25654	-1.78658	2.06342	-0.041156	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0
9.1527	-8.33469	-1.78658	2.06136	-0.041156	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.250909
9.20239	-8.51565	-1.79799	2.01898	-0.0743568	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	0
9.24477	-8.60416	-1.79799	2.01489	-0.0743568	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	0.264187
9.29072	-8.77032	-1.72984	1.98032	-0.0972835	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0
9.32476	-8.84915	-1.72984	1.97546	-0.0972835	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	0.167889
9.42285	-9.08519	-1.93529	1.96064	-0.101608	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	0
9.45919	-9.17414	-1.93529	1.95556	-0.101608	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	0.501979
9.53522	-9.3526	-1.94062	1.94948	-0.0980412	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0
9.57065	-9.44214	-1.94062	1.94458	-0.0980412	9.47534	-9.42627	9.55	-9.5	0	-3.00023	0.00316326
9.60104	-9.63233	-1.92783	1.89679	-0.131146	9.54779	-9.64959	9.55	-9.65	0	-3.0002	0
9.63146	-9.72315	-1.92783	1.89023	-0.131146	9.69942	-9.88416	9.6	-9.8	0.999005	-2.997	0.239995
9.67226	-9.91849	-1.94325	1.85679	-0.148873	9.64606	-9.9341	9.65	-9.95	0.998995	-2.997	0
9.70179	-10.0203	-1.94325	1.84861	-0.148873	9.60087	-9.96395	9.7	-10.05	0.909855	-1.81969	0.0717409
9.74644	-10.1781	-1.82749	1.8351	-0.146362	9.73801	-10.1396	9.75	-10.15	0.909847	-1.81969	0
9.76986	-10.2657	-1.82749	1.82779	-0.146362	9.92627	-10.4745	9.75	-10.3	0	-3.00065	0.152548
9.79028	-10.4562	-1.84552	1.78751	-0.168618	9.75524	-10.4732	9.75	-10.45	0	-3.00063	0
9.81157	-10.5548	-1.84552	1.77823	-0.168618	9.71825	-10.5087	9.8	-10.6	0.90817	-2.72451	0.116836
9.85097	-10.7524	-1.84572	1.7593	-0.16893	9.85048	-10.7526	9.85	-10.75	0.908161	-2.72448	0
9.86943	-10.8513	-1.84572	1.75002	-0.16893	9.88465	-10.9383	9.85	-10.9	0	-2.73074	2.14862e-05
9.87409	-11.043	-1.81547	1.7058	-0.191295	9.83614	-11.041	9.85	-11.05	0	-2.73073	0
9.88584	-11.1323	-1.81547	1.69624	-0.191295	9.83952	-11.1692	9.85	-11.2	0	-2.99965	0.114408
9.88189	-11.3304	-1.85074	1.65098	-0.214106	9.84568	-11.3496	9.85	-11.35	0	-2.99961	0
9.88882	-11.4221	-1.85074	1.64027	-0.214106	9.87961	-11.5637	9.85	-11.5	0	-2.99843	0.131142
9.87202	-11.6177	-1.87181	1.59137	-0.238117	9.83206	-11.6307	9.85	-11.65	0	-2.99843	0
9.87343	-11.7106	-1.87181	1.57947	-0.238117	9.85311	-11.8523	9.8	-11.75	-1.0003	-2.00061	0.134838
9.82153	-11.8683	-1.79616	1.50869	-0.279073	9.74928	-11.8442	9.75	-11.85	-1.00029	-2.00059	0
9.81545	-11.9572	-1.79616	1.49474	-0.279073	9.69694	-11.9706	9.7	-12	-1.0004	-3.00119	0.452599
9.74006	-12.1428	-1.81953	1.40998	-0.328453	9.65354	-12.1497	9.65	-12.15	-1.00039	-3.00116	0
9.72495	-12.2318	-1.81953	1.39356	-0.328453	9.72311	-12.3964	9.6	-12.25	-0.999885	-1.99981	0.566306
9.63346	-12.378	-1.75392	1.30354	-0.378462	9.54859	-12.3478	9.55	-12.35	-0.999884	-1.99979	0
9.60976	-12.4618	-1.75392	1.2846	-0.378462	9.39039	-12.3902	9.45	-12.45	-1.99803	-1.99805	0.61674
9.47966	-12.5915	-1.70165	1.16568	-0.449444	9.36086	-12.5501	9.35	-12.55	-1.99804	-1.99804	0
9.44216	-12.6764	-1.70165	1.14098	-0.449444	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	1.18252
9.30556	-12.8052	-1.65669	1.02815	-0.504699	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.26229	-12.8752	-1.65669	1.00287	-0.504699	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	0.682531
9.03496	-12.9978	-1.76378	0.823409	-0.615878	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.96863	-13.0672	-1.76378	0.789594	-0.615878	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	2.94937
8.76329	-13.1317	-1.72526	0.629399	-0.695339	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.69332	-13.181	-1.72526	0.594598	-0.695339	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	1.34821
8.46694	-13.2294	-1.7936	0.436889	-0.77008	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.37756	-13.2691	-1.7936	0.394537	-0.77008	8.22926	-13.1698	8.2	-13.15	-2.72741	0	1.30945
8.12526	-13.2617	-1.83346	0.209451	-0.854546	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
8.02716	-13.2804	-1.83346	0.162496	-0.854546	7.82914	-13.0525	7.9	-13.15	-2.72986	0	1.54144
7.80093	-13.2454	-1.84646	0.00486398	-0.907666	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.70934	-13.2441	-1.84646	-0.0405511	-0.907666	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	0.600442
7.48586	-13.2397	-1.94941	-0.127537	-0.904526	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.38077	-13.2239	-1.94941	-0.177264	-0.904526	7.21108	-13.0985	7.3	-13.25	-2.72846	0	0.14596
7.16661	-13.2032	-1.96671	-0.25109	-0.883388	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.07255	-13.1771	-1.96671	-0.295292	-0.883388	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	0.0996385
6.86842	-13.1279	-2.00936	-0.366357	-0.869277	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.76693	-13.0864	-2.00936	-0.414156	-0.869277	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.0691872
6.56567	-13.024	-1.99773	-0.477732	-0.842829	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.46989	-12.9719	-1.99773	-0.524096	-0.842829	6.40137	-13.0799	6.4	-13.05	-2.72678	0	0.157781
6.28016	-12.9446	-1.92541	-0.540353	-0.779393	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.19116	-12.8888	-1.92541	-0.583183	-0.779393	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	0.981162
5.98781	-12.8473	-1.90123	-0.591089	-0.714952	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.91024	-12.7934	-1.90123	-0.626863	-0.714952	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	0.991652
5.70914	-12.699	-1.97841	-0.656807	-0.680623	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.62472	-12.6315	-1.97841	-0.694245	-0.680623	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	0.382724
5.45944	-12.563	-1.88079	-0.71296	-0.632693	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.38282	-12.4945	-1.88079	-0.747771	-0.632693	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.674569
5.19086	-12.4002	-1.8876	-0.756185	-0.580781	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.117	-12.3285	-1.8876	-0.788098	-0.580781	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	0.643283
4.95769	-12.2101	-1.86881	-0.819416	-0.553039	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
4.89521	-12.1414	-1.86881	-0.847078	-0.553039	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	0.184681
4.77192	-12.0302	-1.82327	-0.880139	-0.5339	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.7095	-11.9525	-1.82327	-0.909531	-0.5339	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.118747
4.61344	-11.7717	-1.82639	-0.995489	-0.557132	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.56044	-11.6874	-1.82639	-1.02611	-0.557132	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	0.12856
4.50594	-11.5474	-1.70311	-1.10208	-0.569709	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
