px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
0	0	0	0	0	0	0	0	0	0	0	0
0.0272407	-0.0272407	0	0	0	0	0	0	0	0	0	1.76399
1.50617	-0.100734	0.899236	2.60333e-17	-4.39037e-17	1.55945	-0.138501	2.09897	0.0522228	2.19595	0.109339	0
1.59268	0.0223255	1.66419	-0.0560772	-0.0282701	1.81209	0.0474826	2.09897	0.0522228	2.19595	0.109339	5.10981
3.76253	0.152247	3.3787	-0.813963	-0.146419	3.89093	-0.134166	4.29136	0.215312	2.28434	0.226323	0
3.84612	0.195251	3.55115	-0.221492	-0.386131	4.19528	0.218461	4.29136	0.215312	2.28434	0.226323	2.13527
6.84397	0.418055	3.86249	-0.160733	-0.496948	6.86352	0.416817	6.56942	0.496096	2.36382	0.348847	0
6.72663	0.451315	3.39494	-0.349487	-0.878829	6.43926	0.472879	6.56942	0.496096	2.36382	0.348847	3.12186
9.10568	0.554683	2.58158	-0.254436	-0.207762	9.07733	0.593211	8.92437	0.89924	2.43359	0.474526	0
9.07766	0.625851	2.64119	-0.253661	-0.207101	8.89749	0.886982	8.92437	0.89924	2.43359	0.474526	1.67296
11.582	1.54195	1.71964	0.356399	0.290667	11.5756	1.6669	11.3468	1.427	2.49328	0.600781	0
11.607	1.48894	2.29995	0.330496	0.273914	11.4447	1.42958	11.3468	1.427	2.49328	0.600781	2.73261
13.5929	2.32735	2.18855	0.521487	0.222773	13.5921	2.31191	13.827	2.07905	2.5429	0.724947	0
13.6357	2.29676	2.52837	0.48047	0.193597	13.6572	1.99915	13.827	2.07905	2.5429	0.724947	1.41612
16.5674	2.94395	2.97163	0.153994	-0.120399	16.6456	2.903	16.3554	2.85243	2.58284	0.844365	0
16.5048	2.92429	2.79402	0.162999	-0.115613	16.282	2.84648	16.3554	2.85243	2.58284	0.844365	0.896279
19.0253	3.67837	2.63316	0.267693	0.0187539	19.0106	3.70555	18.923	3.74161	2.61382	0.95648	0
19.0783	3.69772	2.58302	0.275273	0.0261509	19.363	3.87122	18.923	3.74161	2.61382	0.95648	1.38543
21.3449	4.71207	2.49225	0.457258	0.122645	21.3312	4.73205	21.5215	4.73855	2.63679	1.05891	0
21.4182	4.72295	2.78881	0.445869	0.11115	21.6213	4.74762	21.5215	4.73855	2.63679	1.05891	1.05875
24.0598	5.59424	2.81142	0.32632	-0.0300831	24.0787	5.56967	24.1437	5.83295	2.65286	1.14953	0
24.1704	5.62978	3.06017	0.314677	-0.0383971	24.5601	5.92334	24.1437	5.83295	2.65286	1.14953	3.02645
26.6373	6.94155	2.74885	0.497458	0.0984628	26.6052	6.96102	26.7833	7.01246	2.6632	1.22647	0
26.6428	6.93782	2.96954	0.488914	0.0867787	26.5419	6.90075	26.7833	7.01246	2.6632	1.22647	0.497891
29.5524	8.10272	3.21829	0.368905	-0.0456026	29.5864	8.08789	29.4352	8.26299	2.66893	1.28822	0
29.5334	8.09957	3.0877	0.373403	-0.0421326	29.4716	8.24519	29.4352	8.26299	2.66893	1.28822	0.141789
31.97	9.84572	2.92244	0.658303	0.1625	31.9416	9.88017	32.0955	9.56901	2.67105	1.33358	0
31.9328	9.82507	2.94793	0.651896	0.155021	31.7928	9.49891	32.0955	9.56901	2.67105	1.33358	0.794768
34.5815	10.7551	2.6476	0.338231	-0.140274	34.6157	10.6988	34.7608	10.9139	2.67035	1.3617	0
34.6871	10.7966	2.93385	0.319929	-0.152	35.0599	10.9953	34.7608	10.9139	2.67035	1.3617	2.72115
37.1631	12.0568	2.74846	0.43679	0.0150659	37.1404	12.0883	37.4287	12.2803	2.66736	1.37209	0
37.2471	12.0829	3.00047	0.437377	0.0127256	37.4973	12.2943	37.4287	12.2803	2.66736	1.37209	1.56494
40.2915	13.4553	3.49889	0.420238	-0.00812828	40.3285	13.4666	40.0971	13.6505	2.66232	1.36459	0
40.2061	13.4311	3.11614	0.430505	0.00104838	39.9009	13.6243	40.0971	13.6505	2.66232	1.36459	1.58389
42.7826	14.8257	2.95059	0.507604	0.0490367	42.7664	14.8294	42.7638	15.0065	2.65515	1.33938	0
42.7724	14.8233	3.0928	0.505057	0.0446056	42.5714	14.9817	42.7638	15.0065	2.65515	1.33938	0.429426
45.3574	16.5418	3.17068	0.622807	0.0905048	45.3572	16.5524	45.4265	16.3307	2.64546	1.29701	0
45.4032	16.5573	3.2192	0.619133	0.0882455	45.649	16.5213	45.4265	16.3307	2.64546	1.29701	0.651886
48.1516	17.3463	2.62813	0.278736	-0.179534	48.1541	17.2835	48.0823	17.6063	2.6326	1.23832	0
48.1349	17.348	2.7212	0.284628	-0.174207	47.9331	17.5349	48.0823	17.6063	2.6326	1.23832	0.306329
50.6231	18.9907	2.89122	0.631305	0.157742	50.6228	19.0721	50.7276	18.8172	2.61569	1.16454	0
50.6131	18.9802	2.96483	0.623947	0.14931	50.5737	18.7834	50.7276	18.8172	2.61569	1.16454	0.208986
53.6652	19.9399	3.11073	0.241277	-0.180595	53.7268	19.8982	53.3577	19.9486	2.59372	1.07716	0
53.6234	19.9127	2.85011	0.240843	-0.185647	53.5277	19.862	53.3577	19.9486	2.59372	1.07716	0.553182
56.0533	21.0481	2.62249	0.396687	0.0263239	56.0322	21.0923	55.9669	20.9874	2.56561	0.978022	0
56.0271	21.0362	2.66188	0.392505	0.0220725	55.867	20.985	55.9669	20.9874	2.56561	0.978022	0.396401
58.6454	21.7981	2.79186	0.262886	-0.0717243	58.6632	21.7821	58.5484	21.9225	2.53033	0.869205	0
58.6488	21.8012	2.8323	0.263998	-0.0705314	58.5799	21.9815	58.5484	21.9225	2.53033	0.869205	0.0210949
60.9075	22.7723	2.41007	0.384313	0.0440578	60.8722	22.7876	61.0941	22.7449	2.48697	0.753031	0
60.8975	22.7645	2.59461	0.380916	0.0403366	60.7648	22.6398	61.0941	22.7449	2.48697	0.753031	0.625885
