px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.46292	0.243462	0	0	0	8.46292	0.243462	8.6	0.25	-3.00029	0	0
8.46292	0.243462	1.38778e-17	1.2902e-17	2.77556e-17	8.44818	0.251553	8.45	0.25	-3.00027	0	0
8.50497	0.24016	-0.00920193	-2.8789e-17	-4.16116e-17	8.56759	0.241943	8.45	0.25	0	0	0.00217478
8.50469	0.24016	-0.00920193	-6.74374e-17	3.81639e-17	8.45582	0.253997	8.45	0.25	0	0	0
8.38951	0.24688	-1.17939	0.00107121	0.000351052	8.42544	0.254042	8.35	0.25	-1.81979	0	14.0282
8.35177	0.246845	-1.17939	0.0010905	0.000351052	8.23962	0.24916	8.25	0.25	-1.81978	0	0
8.02207	0.209112	-1.90311	0.176714	0.0691145	7.93286	0.188391	8.05	0.2	-3.99976	-0.99994	17.3312
7.97036	0.200013	-1.90311	0.18017	0.0691145	7.84073	0.159858	7.85	0.15	-3.99972	-0.99993	0
7.68336	0.231658	-2.415	-0.245735	-0.166677	7.61269	0.155818	7.7	0.15	-2.99982	0	7.07718
7.59976	0.251667	-2.415	-0.254069	-0.166677	7.54016	0.159641	7.55	0.15	-2.99982	0	0
7.42005	0.136289	-2.4547	0.0712444	0.0227209	7.50815	0.0953827	7.45	0.100001	-1.8165	-0.908239	0.347989
7.29975	0.128759	-2.4547	0.0724952	0.0227209	7.3426	0.0345312	7.35	0.0500011	-1.81648	-0.90823	0
7.03092	0.0479861	-2.78378	0.14713	0.0442877	7.20598	0.00492725	7.2	9.49949e-07	-2.72851	-0.909507	1.69831
6.88856	0.0266021	-2.78378	0.149565	0.0442877	7.05406	-0.0533413	7.05	-0.0499992	-2.72849	-0.909499	0
6.71353	-0.135108	-2.39683	0.336821	0.306398	6.74585	-0.143185	6.95	-0.15	-1.81898	-1.81898	1.54913
6.59515	-0.178789	-2.39683	0.353665	0.306398	6.84972	-0.258748	6.85	-0.25	-1.81896	-1.81897	0
6.42829	-0.304622	-2.4126	0.422512	0.336733	6.66966	-0.346668	6.75	-0.349999	-2.00076	-2.00075	0.84919
6.32318	-0.355158	-2.4126	0.439342	0.336733	6.64329	-0.462604	6.65	-0.449999	-2.00076	-2.00075	0
6.29895	-0.581547	-2.04405	0.780025	0.87587	6.60862	-0.557035	6.6	-0.549999	-0.998836	-1.99769	5.37769
6.23129	-0.65475	-2.04405	0.823869	0.87587	6.56029	-0.650892	6.55	-0.65	-0.99884	-1.99769	0
6.19753	-0.878672	-1.97897	1.10745	1.18693	6.40696	-0.842921	6.5	-0.85	-0.908747	-3.63498	1.71233
6.15445	-0.976977	-1.97897	1.17276	1.18693	6.45805	-1.05268	6.45	-1.05	-0.908739	-3.63494	0
6.05387	-1.02151	-1.69181	0.966753	0.691025	6.38626	-1.15695	6.35	-1.15	-1.81897	-1.81898	6.62948
6.00342	-1.09879	-1.69181	1.00474	0.691025	6.25499	-1.25007	6.25	-1.25	-1.81896	-1.81896	0
6.19515	-1.38757	-1.31602	1.58864	1.33595	6.43125	-1.48148	6.3	-1.45	0.909739	-3.63894	31.0901
6.19986	-1.4592	-1.31602	1.66207	1.33595	6.36328	-1.65656	6.35	-1.65	0.909727	-3.63891	0
6.18866	-1.54161	-0.911822	1.67461	1.156	6.3228	-1.81431	6.3	-1.8	-0.999494	-2.9985	6.02667
6.19434	-1.58649	-0.911822	1.73244	1.156	6.24641	-1.95075	6.25	-1.95	-0.999489	-2.99847	0
6.26213	-1.9507	-1.85205	1.94717	1.27068	6.31851	-2.10969	6.3	-2.1	0.999984	-2.99994	11.6061
6.29791	-2.03506	-1.85205	2.01071	1.27068	6.34644	-2.23829	6.35	-2.25	0.999979	-2.99994	0
6.3202	-2.21119	-1.60449	2.04804	1.1642	6.32593	-2.40018	6.35	-2.4	0	-2.72613	2.68901
6.36175	-2.2879	-1.60449	2.1121	1.1642	6.34927	-2.55175	6.35	-2.55	0	-2.72611	0
6.4639	-2.56626	-2.04017	2.18475	1.12126	6.43125	-2.71878	6.4	-2.7	0.909499	-2.72851	2.26658
6.52958	-2.65535	-2.04017	2.2464	1.12126	6.43257	-2.84245	6.45	-2.85	0.909503	-2.72851	0
6.57588	-2.86343	-1.84721	2.26113	1.03309	6.46536	-3.00452	6.45	-3	0	-2.99754	2.02937
6.63517	-2.93279	-1.84721	2.31283	1.03309	6.44119	-3.14955	6.45	-3.15	0	-2.99754	0
6.72046	-3.20513	-2.19104	2.30574	0.951303	6.52249	-3.32007	6.5	-3.3	0.910402	-2.7312	2.48997
6.80197	-3.29164	-2.19104	2.35799	0.951303	6.5453	-3.45745	6.55	-3.45	0.910402	-2.7312	0
6.92677	-3.57216	-2.57792	2.36538	0.888718	6.6358	-3.59197	6.65	-3.6	1.81722	-2.72583	3.21372
7.02889	-3.6683	-2.57792	2.41428	0.888718	6.76011	-3.75457	6.75	-3.75	1.81721	-2.72581	0
7.12053	-3.90585	-2.39798	2.4176	0.821914	6.83625	-3.92723	6.8	-3.9	0.907988	-2.72396	1.98121
7.22016	-3.99045	-2.39798	2.46286	0.821914	6.85997	-4.05805	6.85	-4.05	0.907976	-2.72393	0
7.2886	-4.22144	-2.30672	2.45381	0.754686	6.86943	-4.18507	6.9	-4.2	0.909334	-2.72801	2.95065
7.38719	-4.29932	-2.30672	2.49531	0.754686	6.94332	-4.34473	6.95	-4.35	0.90933	-2.72799	0
7.42439	-4.48847	-1.92044	2.48967	0.693421	7.05156	-4.49706	7	-4.45	0.910054	-1.8201	4.01953
7.50863	-4.55038	-1.92044	2.52777	0.693421	7.04099	-4.55018	7.05	-4.55	0.910054	-1.8201	0
7.57889	-4.7492	-2.07748	2.51904	0.635056	7.10252	-4.67934	7.1	-4.7	0.908302	-2.72489	3.94911
7.67205	-4.81365	-2.07748	2.554	0.635056	7.14735	-4.86125	7.15	-4.85	0.908297	-2.72489	0
